,Period beginning,Period ending,Days in period,Journey type,Passengers (m)
597,2013-06-23,2013-07-20,28,Emirates Airline Journeys (m),0.15
598,2013-07-21,2013-08-17,28,Emirates Airline Journeys (m),0.19
599,2013-08-18,2013-09-14,28,Emirates Airline Journeys (m),0.17
600,2013-09-15,2013-10-12,28,Emirates Airline Journeys (m),0.1
601,2013-10-13,2013-11-09,28,Emirates Airline Journeys (m),0.1
602,2013-11-10,2013-12-07,28,Emirates Airline Journeys (m),0.08
603,2013-12-08,2014-01-04,28,Emirates Airline Journeys (m),0.07
604,2014-01-05,2014-02-01,28,Emirates Airline Journeys (m),0.07
605,2014-02-02,2014-03-01,28,Emirates Airline Journeys (m),0.08
606,2014-03-02,2014-03-31,30,Emirates Airline Journeys (m),0.09
607,2014-04-01,2014-04-26,26,Emirates Airline Journeys (m),0.14
608,2014-04-27,2014-05-24,28,Emirates Airline Journeys (m),0.11
609,2014-05-25,2014-06-21,28,Emirates Airline Journeys (m),0.13
610,2014-06-22,2014-07-19,28,Emirates Airline Journeys (m),0.12
611,2014-07-20,2014-08-16,28,Emirates Airline Journeys (m),0.18
612,2014-08-17,2014-09-13,28,Emirates Airline Journeys (m),0.17
613,2014-09-14,2014-10-11,28,Emirates Airline Journeys (m),0.11
614,2014-10-12,2014-11-08,28,Emirates Airline Journeys (m),0.13
615,2014-11-09,2014-12-06,28,Emirates Airline Journeys (m),0.09
616,2014-12-07,2015-01-03,28,Emirates Airline Journeys (m),0.09
617,2015-01-04,2015-01-31,28,Emirates Airline Journeys (m),0.07
618,2015-02-01,2015-02-28,28,Emirates Airline Journeys (m),0.12
619,2015-03-01,2015-03-31,31,Emirates Airline Journeys (m),0.07
620,2015-04-01,2015-05-02,26,Emirates Airline Journeys (m),0.16
621,2015-05-03,2015-05-30,28,Emirates Airline Journeys (m),0.15
622,2015-05-31,2015-06-27,28,Emirates Airline Journeys (m),0.12
623,2015-06-28,2015-07-25,28,Emirates Airline Journeys (m),0.15
624,2015-07-26,2015-08-22,28,Emirates Airline Journeys (m),0.19
625,2015-08-23,2015-09-19,28,Emirates Airline Journeys (m),0.12
626,2015-09-20,2015-10-17,28,Emirates Airline Journeys (m),0.12
627,2015-10-18,2015-11-14,28,Emirates Airline Journeys (m),0.14
628,2015-11-15,2015-12-12,28,Emirates Airline Journeys (m),0.05
629,2015-12-13,2016-01-09,28,Emirates Airline Journeys (m),0.08
630,2016-01-10,2016-02-06,28,Emirates Airline Journeys (m),0.07
631,2016-02-07,2016-03-05,28,Emirates Airline Journeys (m),0.11
632,2016-03-06,2016-03-31,31,Emirates Airline Journeys (m),0.08
633,2016-04-01,2016-04-30,30,Emirates Airline Journeys (m),0.14
634,2016-05-01,2016-05-28,28,Emirates Airline Journeys (m),0.13
635,2016-05-29,2016-06-25,28,Emirates Airline Journeys (m),0.11
636,2016-06-26,2016-07-23,28,Emirates Airline Journeys (m),0.13
637,2016-07-24,2016-08-20,28,Emirates Airline Journeys (m),0.18
638,2016-08-21,2016-09-17,28,Emirates Airline Journeys (m),0.14
639,2016-09-18,2016-10-15,28,Emirates Airline Journeys (m),0.1
640,2016-10-16,2016-11-12,28,Emirates Airline Journeys (m),0.12
641,2016-11-13,2016-12-10,28,Emirates Airline Journeys (m),0.08
642,2016-12-11,2017-01-07,28,Emirates Airline Journeys (m),0.09
643,2017-01-08,2017-02-04,28,Emirates Airline Journeys (m),0.08
644,2017-02-05,2017-03-04,28,Emirates Airline Journeys (m),0.11
645,2017-03-05,2017-03-31,27,Emirates Airline Journeys (m),0.07
646,2017-04-01,2017-04-29,29,Emirates Airline Journeys (m),0.16
647,2017-04-30,2017-05-27,28,Emirates Airline Journeys (m),0.11
648,2017-05-28,2017-06-24,28,Emirates Airline Journeys (m),0.11
649,2017-06-25,2017-07-22,28,Emirates Airline Journeys (m),0.13
650,2017-07-23,2017-08-19,28,Emirates Airline Journeys (m),0.18
651,2017-08-20,2017-09-16,28,Emirates Airline Journeys (m),0.12
652,2017-09-17,2017-10-14,28,Emirates Airline Journeys (m),0.1
653,2017-10-15,2017-11-11,28,Emirates Airline Journeys (m),0.11
654,2017-11-12,2017-12-09,28,Emirates Airline Journeys (m),0.08
655,2017-12-10,2018-01-06,28,Emirates Airline Journeys (m),0.06
656,2018-01-07,2018-02-03,28,Emirates Airline Journeys (m),0.07
657,2018-02-04,2018-03-03,28,Emirates Airline Journeys (m),0.1
658,2018-03-04,2018-03-31,28,Emirates Airline Journeys (m),0.1
659,2018-04-01,2018-04-28,28,Emirates Airline Journeys (m),0.1
660,2018-04-29,2018-05-26,28,Emirates Airline Journeys (m),0.1
661,2018-05-27,2018-06-23,28,Emirates Airline Journeys (m),0.1
662,2018-06-24,2018-07-21,28,Emirates Airline Journeys (m),0.1
663,2018-07-22,2018-08-18,28,Emirates Airline Journeys (m),0.2
664,2018-08-19,2018-09-15,28,Emirates Airline Journeys (m),0.1
665,2018-09-16,2018-10-13,28,Emirates Airline Journeys (m),0.1
666,2010-04-01,2010-05-01,31,TfL Rail Journeys (m),
667,2010-05-02,2010-05-29,28,TfL Rail Journeys (m),
668,2010-05-30,2010-06-26,28,TfL Rail Journeys (m),
669,2010-06-27,2010-07-24,28,TfL Rail Journeys (m),
670,2010-07-25,2010-08-21,28,TfL Rail Journeys (m),
671,2010-08-22,2010-09-18,28,TfL Rail Journeys (m),
672,2010-09-19,2010-10-16,28,TfL Rail Journeys (m),
673,2010-10-17,2010-11-13,28,TfL Rail Journeys (m),
674,2010-11-14,2010-12-11,28,TfL Rail Journeys (m),
675,2010-12-12,2011-01-08,28,TfL Rail Journeys (m),
676,2011-01-09,2011-02-05,28,TfL Rail Journeys (m),
677,2011-02-06,2011-03-05,28,TfL Rail Journeys (m),
678,2011-03-06,2011-03-31,26,TfL Rail Journeys (m),
679,2011-04-01,2011-04-30,30,TfL Rail Journeys (m),
680,2011-05-01,2011-05-28,28,TfL Rail Journeys (m),
681,2011-05-29,2011-06-25,28,TfL Rail Journeys (m),
682,2011-06-26,2011-07-23,28,TfL Rail Journeys (m),
683,2011-07-24,2011-08-20,28,TfL Rail Journeys (m),
684,2011-08-21,2011-09-17,28,TfL Rail Journeys (m),
685,2011-09-18,2011-10-15,28,TfL Rail Journeys (m),
686,2011-10-16,2011-11-12,28,TfL Rail Journeys (m),
687,2011-11-13,2011-12-10,28,TfL Rail Journeys (m),
688,2011-12-11,2012-01-07,28,TfL Rail Journeys (m),
689,2012-01-08,2012-02-04,28,TfL Rail Journeys (m),
690,2012-02-05,2012-03-03,28,TfL Rail Journeys (m),
691,2012-03-04,2012-03-31,28,TfL Rail Journeys (m),
692,2012-04-01,2012-04-28,28,TfL Rail Journeys (m),
693,2012-04-29,2012-05-26,28,TfL Rail Journeys (m),
694,2012-05-27,2012-06-23,28,TfL Rail Journeys (m),
695,2012-06-24,2012-07-21,28,TfL Rail Journeys (m),
696,2012-07-22,2012-08-18,28,TfL Rail Journeys (m),
697,2012-08-19,2012-09-15,28,TfL Rail Journeys (m),
698,2012-09-16,2012-10-13,28,TfL Rail Journeys (m),
699,2012-10-14,2012-11-10,28,TfL Rail Journeys (m),
700,2012-11-11,2012-12-08,28,TfL Rail Journeys (m),
701,2012-12-09,2013-01-05,28,TfL Rail Journeys (m),
702,2013-01-06,2013-02-02,28,TfL Rail Journeys (m),
703,2013-02-03,2013-03-02,28,TfL Rail Journeys (m),
704,2013-03-03,2013-03-31,29,TfL Rail Journeys (m),
705,2013-04-01,2013-04-27,27,TfL Rail Journeys (m),
706,2013-04-28,2013-05-25,28,TfL Rail Journeys (m),
707,2013-05-26,2013-06-22,28,TfL Rail Journeys (m),
708,2013-06-23,2013-07-20,28,TfL Rail Journeys (m),
709,2013-07-21,2013-08-17,28,TfL Rail Journeys (m),
710,2013-08-18,2013-09-14,28,TfL Rail Journeys (m),
711,2013-09-15,2013-10-12,28,TfL Rail Journeys (m),
712,2013-10-13,2013-11-09,28,TfL Rail Journeys (m),
713,2013-11-10,2013-12-07,28,TfL Rail Journeys (m),
714,2013-12-08,2014-01-04,28,TfL Rail Journeys (m),
715,2014-01-05,2014-02-01,28,TfL Rail Journeys (m),
716,2014-02-02,2014-03-01,28,TfL Rail Journeys (m),
717,2014-03-02,2014-03-31,30,TfL Rail Journeys (m),
718,2014-04-01,2014-04-26,26,TfL Rail Journeys (m),2.9
719,2014-04-27,2014-05-24,28,TfL Rail Journeys (m),
720,2014-05-25,2014-06-21,28,TfL Rail Journeys (m),
721,2014-06-22,2014-07-19,28,TfL Rail Journeys (m),
722,2014-07-20,2014-08-16,28,TfL Rail Journeys (m),
723,2014-08-17,2014-09-13,28,TfL Rail Journeys (m),
724,2014-09-14,2014-10-11,28,TfL Rail Journeys (m),
725,2014-10-12,2014-11-08,28,TfL Rail Journeys (m),
726,2014-11-09,2014-12-06,28,TfL Rail Journeys (m),
727,2014-12-07,2015-01-03,28,TfL Rail Journeys (m),
728,2015-01-04,2015-01-31,28,TfL Rail Journeys (m),
729,2015-02-01,2015-02-28,28,TfL Rail Journeys (m),
730,2015-03-01,2015-03-31,31,TfL Rail Journeys (m),
731,2015-04-01,2015-05-02,26,TfL Rail Journeys (m),
732,2015-05-03,2015-05-30,28,TfL Rail Journeys (m),
733,2015-05-31,2015-06-27,28,TfL Rail Journeys (m),3.6
734,2015-06-28,2015-07-25,28,TfL Rail Journeys (m),3.8
735,2015-07-26,2015-08-22,28,TfL Rail Journeys (m),3.7
736,2015-08-23,2015-09-19,28,TfL Rail Journeys (m),3.7
737,2015-09-20,2015-10-17,28,TfL Rail Journeys (m),4.1
738,2015-10-18,2015-11-14,28,TfL Rail Journeys (m),4.2
739,2015-11-15,2015-12-12,28,TfL Rail Journeys (m),4.2
740,2015-12-13,2016-01-09,28,TfL Rail Journeys (m),3.0
741,2016-01-10,2016-02-06,28,TfL Rail Journeys (m),3.8
742,2016-02-07,2016-03-05,28,TfL Rail Journeys (m),3.2
743,2016-03-06,2016-03-31,31,TfL Rail Journeys (m),2.8
744,2016-04-01,2016-04-30,30,TfL Rail Journeys (m),4.0
745,2016-05-01,2016-05-28,28,TfL Rail Journeys (m),3.7
746,2016-05-29,2016-06-25,28,TfL Rail Journeys (m),3.5
747,2016-06-26,2016-07-23,28,TfL Rail Journeys (m),3.8
748,2016-07-24,2016-08-20,28,TfL Rail Journeys (m),3.6
749,2016-08-21,2016-09-17,28,TfL Rail Journeys (m),3.5
750,2016-09-18,2016-10-15,28,TfL Rail Journeys (m),3.7
751,2016-10-16,2016-11-12,28,TfL Rail Journeys (m),3.8
752,2016-11-13,2016-12-10,28,TfL Rail Journeys (m),4.0
753,2016-12-11,2017-01-07,28,TfL Rail Journeys (m),3.3
754,2017-01-08,2017-02-04,28,TfL Rail Journeys (m),3.8
755,2017-02-05,2017-03-04,28,TfL Rail Journeys (m),3.6
756,2017-03-05,2017-03-31,27,TfL Rail Journeys (m),3.4
757,2017-04-01,2017-04-29,29,TfL Rail Journeys (m),3.3
758,2017-04-30,2017-05-27,28,TfL Rail Journeys (m),3.5
759,2017-05-28,2017-06-24,28,TfL Rail Journeys (m),3.4
760,2017-06-25,2017-07-22,28,TfL Rail Journeys (m),3.7
761,2017-07-23,2017-08-19,28,TfL Rail Journeys (m),3.5
762,2017-08-20,2017-09-16,28,TfL Rail Journeys (m),3.3
763,2017-09-17,2017-10-14,28,TfL Rail Journeys (m),3.8
764,2017-10-15,2017-11-11,28,TfL Rail Journeys (m),3.7
765,2017-11-12,2017-12-09,28,TfL Rail Journeys (m),3.9
766,2017-12-10,2018-01-06,28,TfL Rail Journeys (m),2.9
767,2018-01-07,2018-02-03,28,TfL Rail Journeys (m),3.7
768,2018-02-04,2018-03-03,28,TfL Rail Journeys (m),3.4
769,2018-03-04,2018-03-31,28,TfL Rail Journeys (m),3.3
770,2018-04-01,2018-04-28,28,TfL Rail Journeys (m),3.5
771,2018-04-29,2018-05-26,28,TfL Rail Journeys (m),3.7
772,2018-05-27,2018-06-23,28,TfL Rail Journeys (m),4.2
773,2018-06-24,2018-07-21,28,TfL Rail Journeys (m),4.5
774,2018-07-22,2018-08-18,28,TfL Rail Journeys (m),4.1
775,2018-08-19,2018-09-15,28,TfL Rail Journeys (m),4.1
776,2018-09-16,2018-10-13,28,TfL Rail Journeys (m),4.7
777,2010-04-01,2010-05-01,31,Cycle Hires (m),0.076235
778,2010-05-02,2010-05-29,28,Cycle Hires (m),0.067838
779,2010-05-30,2010-06-26,28,Cycle Hires (m),0.072484
780,2010-06-27,2010-07-24,28,Cycle Hires (m),0.080428
781,2010-07-25,2010-08-21,28,Cycle Hires (m),0.212958
782,2010-08-22,2010-09-18,28,Cycle Hires (m),0.304824
783,2010-09-19,2010-10-16,28,Cycle Hires (m),0.364295
784,2010-10-17,2010-11-13,28,Cycle Hires (m),0.334129
785,2010-11-14,2010-12-11,28,Cycle Hires (m),0.305307
786,2010-12-12,2011-01-08,28,Cycle Hires (m),0.312663
787,2011-01-09,2011-02-05,28,Cycle Hires (m),0.443478
788,2011-02-06,2011-03-05,28,Cycle Hires (m),0.470707
789,2011-03-06,2011-03-31,26,Cycle Hires (m),0.526407
790,2011-04-01,2011-04-30,30,Cycle Hires (m),0.629968
791,2011-05-01,2011-05-28,28,Cycle Hires (m),0.588571
792,2011-05-29,2011-06-25,28,Cycle Hires (m),0.548135
793,2011-06-26,2011-07-23,28,Cycle Hires (m),0.589411
794,2011-07-24,2011-08-20,28,Cycle Hires (m),0.606457
795,2011-08-21,2011-09-17,28,Cycle Hires (m),0.570239
796,2011-09-18,2011-10-15,28,Cycle Hires (m),0.629057
797,2011-10-16,2011-11-12,28,Cycle Hires (m),0.579709
798,2011-11-13,2011-12-10,28,Cycle Hires (m),0.549742
799,2011-12-11,2012-01-07,28,Cycle Hires (m),0.421112
800,2012-01-08,2012-02-04,28,Cycle Hires (m),0.540615
801,2012-02-05,2012-03-03,28,Cycle Hires (m),0.587725
802,2012-03-04,2012-03-31,28,Cycle Hires (m),0.811664
803,2012-04-01,2012-04-28,28,Cycle Hires (m),0.613755
804,2012-04-29,2012-05-26,28,Cycle Hires (m),0.766466
805,2012-05-27,2012-06-23,28,Cycle Hires (m),0.844519
806,2012-06-24,2012-07-21,28,Cycle Hires (m),0.796483
807,2012-07-22,2012-08-18,28,Cycle Hires (m),0.931199
808,2012-08-19,2012-09-15,28,Cycle Hires (m),0.855545
809,2012-09-16,2012-10-13,28,Cycle Hires (m),0.800518
810,2012-10-14,2012-11-10,28,Cycle Hires (m),0.746324
811,2012-11-11,2012-12-08,28,Cycle Hires (m),0.680852
812,2012-12-09,2013-01-05,28,Cycle Hires (m),0.468438
813,2013-01-06,2013-02-02,28,Cycle Hires (m),0.533815
814,2013-02-03,2013-03-02,28,Cycle Hires (m),0.592615
815,2013-03-03,2013-03-31,29,Cycle Hires (m),0.53938
816,2013-04-01,2013-04-27,27,Cycle Hires (m),0.671462
817,2013-04-28,2013-05-25,28,Cycle Hires (m),0.671536
818,2013-05-26,2013-06-22,28,Cycle Hires (m),0.690684
819,2013-06-23,2013-07-20,28,Cycle Hires (m),0.776735
820,2013-07-21,2013-08-17,28,Cycle Hires (m),0.753368
821,2013-08-18,2013-09-14,28,Cycle Hires (m),0.664069
822,2013-09-15,2013-10-12,28,Cycle Hires (m),0.625347
823,2013-10-13,2013-11-09,28,Cycle Hires (m),0.586305
824,2013-11-10,2013-12-07,28,Cycle Hires (m),0.50924
825,2013-12-08,2014-01-04,28,Cycle Hires (m),0.407503
826,2014-01-05,2014-02-01,28,Cycle Hires (m),0.595793
827,2014-02-02,2014-03-01,28,Cycle Hires (m),0.616808
828,2014-03-02,2014-03-31,30,Cycle Hires (m),0.811856
829,2014-04-01,2014-04-26,26,Cycle Hires (m),0.658233
830,2014-04-27,2014-05-24,28,Cycle Hires (m),0.888794
831,2014-05-25,2014-06-21,28,Cycle Hires (m),0.821951
832,2014-06-22,2014-07-19,28,Cycle Hires (m),0.90309
833,2014-07-20,2014-08-16,28,Cycle Hires (m),0.942221
834,2014-08-17,2014-09-13,28,Cycle Hires (m),0.848087
835,2014-09-14,2014-10-11,28,Cycle Hires (m),0.906545
836,2014-10-12,2014-11-08,28,Cycle Hires (m),0.784375
837,2014-11-09,2014-12-06,28,Cycle Hires (m),0.68176
838,2014-12-07,2015-01-03,28,Cycle Hires (m),0.534323
839,2015-01-04,2015-01-31,28,Cycle Hires (m),0.672813
840,2015-02-01,2015-02-28,28,Cycle Hires (m),0.643751
841,2015-03-01,2015-03-31,31,Cycle Hires (m),0.719355
842,2015-04-01,2015-05-02,26,Cycle Hires (m),0.906754
843,2015-05-03,2015-05-30,28,Cycle Hires (m),0.806551
844,2015-05-31,2015-06-27,28,Cycle Hires (m),0.885051
845,2015-06-28,2015-07-25,28,Cycle Hires (m),0.900657
846,2015-07-26,2015-08-22,28,Cycle Hires (m),0.857964
847,2015-08-23,2015-09-19,28,Cycle Hires (m),0.816176
848,2015-09-20,2015-10-17,28,Cycle Hires (m),0.85403
849,2015-10-18,2015-11-14,28,Cycle Hires (m),0.766193
850,2015-11-15,2015-12-12,28,Cycle Hires (m),0.677385
851,2015-12-13,2016-01-09,28,Cycle Hires (m),0.565461
852,2016-01-10,2016-02-06,28,Cycle Hires (m),0.590517
853,2016-02-07,2016-03-05,28,Cycle Hires (m),0.620935
854,2016-03-06,2016-03-31,31,Cycle Hires (m),0.63067
855,2016-04-01,2016-04-30,30,Cycle Hires (m),0.804913
856,2016-05-01,2016-05-28,28,Cycle Hires (m),0.896673
857,2016-05-29,2016-06-25,28,Cycle Hires (m),0.83096
858,2016-06-26,2016-07-23,28,Cycle Hires (m),0.964863
859,2016-07-24,2016-08-20,28,Cycle Hires (m),0.997559
860,2016-08-21,2016-09-17,28,Cycle Hires (m),0.911138
861,2016-09-18,2016-10-15,28,Cycle Hires (m),0.858385
862,2016-10-16,2016-11-12,28,Cycle Hires (m),0.821751
863,2016-11-13,2016-12-10,28,Cycle Hires (m),0.73167
864,2016-12-11,2017-01-07,28,Cycle Hires (m),0.586337
865,2017-01-08,2017-02-04,28,Cycle Hires (m),0.650264
866,2017-02-05,2017-03-04,28,Cycle Hires (m),0.733936
867,2017-03-05,2017-03-31,27,Cycle Hires (m),0.773671
868,2017-04-01,2017-04-29,29,Cycle Hires (m),0.82298
869,2017-04-30,2017-05-27,28,Cycle Hires (m),0.860968
870,2017-05-28,2017-06-24,28,Cycle Hires (m),0.978709
871,2017-06-25,2017-07-22,28,Cycle Hires (m),0.924632
872,2017-07-23,2017-08-19,28,Cycle Hires (m),0.873971
873,2017-08-20,2017-09-16,28,Cycle Hires (m),0.869605
874,2017-09-17,2017-10-14,28,Cycle Hires (m),0.865411
875,2017-10-15,2017-11-11,28,Cycle Hires (m),0.820217
876,2017-11-12,2017-12-09,28,Cycle Hires (m),0.728083
877,2017-12-10,2018-01-06,28,Cycle Hires (m),0.493608
878,2018-01-07,2018-02-03,28,Cycle Hires (m),0.609485
879,2018-02-04,2018-03-03,28,Cycle Hires (m),0.597595
880,2018-03-04,2018-03-31,28,Cycle Hires (m),0.654273
881,2018-04-01,2018-04-28,28,Cycle Hires (m),0.826567
882,2018-04-29,2018-05-26,28,Cycle Hires (m),0.884588
883,2018-05-27,2018-06-23,28,Cycle Hires (m),0.896426
884,2018-06-24,2018-07-21,28,Cycle Hires (m),0.97063
885,2018-07-22,2018-08-18,28,Cycle Hires (m),0.913386
886,2018-08-19,2018-09-15,28,Cycle Hires (m),0.802124
887,2018-09-16,2018-10-13,28,Cycle Hires (m),0.829251
