Category,Forecast Created,Forecast Year,Growth Rate (% change on previous year),Levels (GBPbn)
Financial & Business Services employment,Nov-18,2018,2.0,2.45
"Distribution, Accommodation and Food Service Activities employment",Nov-18,2018,0.8,1.07
Transportation & Storage employment,Nov-18,2018,0.1,0.30
Other (public & private) Services employment,Nov-18,2018,1.0,1.58
Manufacturing employment,Nov-18,2018,0.8,0.14
Construction employment,Nov-18,2018,0.8,0.33
Non-manufacturing employment,Nov-18,2018,1.5,5.78
"Gross value added at basic prices, 2013 KP",Nov-18,2018,1.9,396.88
Financial & Business Services Output,Nov-18,2018,2.3,237.35
"Distribution, Accommodation and Food Service Activities Output",Nov-18,2018,0.7,42.88
Transportation & Storage Output,Nov-18,2018,0.8,15.59
Other (public & private) Services output,Nov-18,2018,0.3,66.87
Manufacturing Output,Nov-18,2018,0.2,7.91
Construction Output,Nov-18,2018,0.3,20.56
Non-manufacturing Output,Nov-18,2018,1.9,388.98
Civilian Workforce Jobs ,Nov-18,2018,1.5,5.92
Household Disposable Income,Nov-18,2018,1.9,236.77
Household Spending,Nov-18,2018,1.4,184.74
Financial Services employment,Nov-18,2018,0.3,0.39
Financial Services output,Nov-18,2018,0.7,57.37
Business Services employment,Nov-18,2018,2.3,2.06
Business Services output,Nov-18,2018,2.8,179.97
Financial & Business Services employment,Nov-18,2019,0.7,2.47
"Distribution, Accommodation and Food Service Activities employment",Nov-18,2019,-0.3,1.07
Transportation & Storage employment,Nov-18,2019,-0.4,0.30
Other (public & private) Services employment,Nov-18,2019,0.9,1.60
Manufacturing employment,Nov-18,2019,-0.5,0.14
Construction employment,Nov-18,2019,0.3,0.33
Non-manufacturing employment,Nov-18,2019,0.5,5.81
"Gross value added at basic prices, 2013 KP",Nov-18,2019,1.6,403.29
Financial & Business Services Output,Nov-18,2019,2.2,242.65
"Distribution, Accommodation and Food Service Activities Output",Nov-18,2019,0.9,43.28
Transportation & Storage Output,Nov-18,2019,0.4,15.64
Other (public & private) Services output,Nov-18,2019,0.4,67.11
Manufacturing Output,Nov-18,2019,0.0,7.91
Construction Output,Nov-18,2019,0.3,20.63
Non-manufacturing Output,Nov-18,2019,1.6,395.39
Civilian Workforce Jobs ,Nov-18,2019,0.5,5.95
Household Disposable Income,Nov-18,2019,0.9,238.90
Household Spending,Nov-18,2019,0.8,186.30
Financial Services employment,Nov-18,2019,0.1,0.39
Financial Services output,Nov-18,2019,1.1,57.99
Business Services employment,Nov-18,2019,0.9,2.07
Business Services output,Nov-18,2019,2.6,184.66
Financial & Business Services employment,Nov-18,2020,1.2,2.50
"Distribution, Accommodation and Food Service Activities employment",Nov-18,2020,0.1,1.07
Transportation & Storage employment,Nov-18,2020,-0.1,0.30
Other (public & private) Services employment,Nov-18,2020,0.8,1.61
Manufacturing employment,Nov-18,2020,-1.7,0.14
Construction employment,Nov-18,2020,0.8,0.34
Non-manufacturing employment,Nov-18,2020,0.7,5.86
"Gross value added at basic prices, 2013 KP",Nov-18,2020,1.9,410.89
Financial & Business Services Output,Nov-18,2020,2.7,249.32
"Distribution, Accommodation and Food Service Activities Output",Nov-18,2020,1.3,43.86
Transportation & Storage Output,Nov-18,2020,0.5,15.73
Other (public & private) Services output,Nov-18,2020,1.0,67.77
Manufacturing Output,Nov-18,2020,-0.2,7.89
Construction Output,Nov-18,2020,1.1,20.86
Non-manufacturing Output,Nov-18,2020,1.9,403.00
Civilian Workforce Jobs ,Nov-18,2020,0.7,5.99
Household Disposable Income,Nov-18,2020,1.5,242.52
Household Spending,Nov-18,2020,1.6,189.36
Financial Services employment,Nov-18,2020,0.4,0.39
Financial Services output,Nov-18,2020,1.6,58.91
Business Services employment,Nov-18,2020,1.3,2.10
Business Services output,Nov-18,2020,3.1,190.40
Financial & Business Services employment,May-18,2018,0.8,2.42
"Distribution, Accommodation and Food Service Activities employment",May-18,2018,0.1,1.06
Transportation & Storage employment,May-18,2018,-0.5,0.30
Other (public & private) Services employment,May-18,2018,0.7,1.58
Manufacturing employment,May-18,2018,0.8,0.14
Construction employment,May-18,2018,0.5,0.33
Non-manufacturing employment,May-18,2018,0.6,5.73
"Gross value added at basic prices, 2013 KP",May-18,2018,1.6,390.51
Financial & Business Services Output,May-18,2018,2.4,233.75
"Distribution, Accommodation and Food Service Activities Output",May-18,2018,1.1,43.15
Transportation & Storage Output,May-18,2018,-0.2,15.14
Other (public & private) Services output,May-18,2018,0.2,65.31
Manufacturing Output,May-18,2018,-0.7,7.81
Construction Output,May-18,2018,-0.2,20.86
Non-manufacturing Output,May-18,2018,1.6,382.70
Civilian Workforce Jobs ,May-18,2018,0.6,5.87
Household Disposable Income,May-18,2018,1.6,236.43
Household Spending,May-18,2018,1.3,189.74
Financial Services employment,May-18,2018,-0.2,0.39
Financial Services output,May-18,2018,0.8,56.56
Business Services employment,May-18,2018,0.9,2.03
Business Services output,May-18,2018,2.9,177.19
Financial & Business Services employment,May-18,2019,0.9,2.44
"Distribution, Accommodation and Food Service Activities employment",May-18,2019,-0.5,1.06
Transportation & Storage employment,May-18,2019,-1.1,0.30
Other (public & private) Services employment,May-18,2019,0.5,1.58
Manufacturing employment,May-18,2019,-1.6,0.14
Construction employment,May-18,2019,0.5,0.33
Non-manufacturing employment,May-18,2019,0.4,5.75
"Gross value added at basic prices, 2013 KP",May-18,2019,1.9,397.74
Financial & Business Services Output,May-18,2019,2.7,240.16
"Distribution, Accommodation and Food Service Activities Output",May-18,2019,1.1,43.62
Transportation & Storage Output,May-18,2019,-0.3,15.10
Other (public & private) Services output,May-18,2019,0.5,65.66
Manufacturing Output,May-18,2019,-1.3,7.70
Construction Output,May-18,2019,0.4,20.95
Non-manufacturing Output,May-18,2019,1.9,390.03
Civilian Workforce Jobs ,May-18,2019,0.3,5.89
Household Disposable Income,May-18,2019,1.4,239.73
Household Spending,May-18,2019,1.3,192.13
Financial Services employment,May-18,2019,0.1,0.39
Financial Services output,May-18,2019,1.4,57.33
Business Services employment,May-18,2019,1.0,2.05
Business Services output,May-18,2019,3.2,182.83
Financial & Business Services employment,May-18,2020,1.2,2.47
"Distribution, Accommodation and Food Service Activities employment",May-18,2020,0.0,1.06
Transportation & Storage employment,May-18,2020,-0.4,0.30
Other (public & private) Services employment,May-18,2020,0.8,1.60
Manufacturing employment,May-18,2020,-1.7,0.13
Construction employment,May-18,2020,0.8,0.34
Non-manufacturing employment,May-18,2020,0.7,5.79
"Gross value added at basic prices, 2013 KP",May-18,2020,2.2,406.31
Financial & Business Services Output,May-18,2020,3.1,247.56
"Distribution, Accommodation and Food Service Activities Output",May-18,2020,0.7,43.92
Transportation & Storage Output,May-18,2020,0.1,15.11
Other (public & private) Services output,May-18,2020,1.0,66.29
Manufacturing Output,May-18,2020,-0.7,7.65
Construction Output,May-18,2020,0.8,21.11
Non-manufacturing Output,May-18,2020,2.2,398.66
Civilian Workforce Jobs ,May-18,2020,0.7,5.92
Household Disposable Income,May-18,2020,1.5,243.45
Household Spending,May-18,2020,1.2,194.37
Financial Services employment,May-18,2020,0.4,0.39
Financial Services output,May-18,2020,1.5,58.21
Business Services employment,May-18,2020,1.3,2.07
Business Services output,May-18,2020,3.6,189.35
Financial & Business Services employment,Nov-17,2017,1.6,2.35
"Distribution, Accommodation and Food Service Activities employment",Nov-17,2017,1.9,1.08
Transportation & Storage employment,Nov-17,2017,0.3,0.28
Other (public & private) Services employment,Nov-17,2017,0.9,1.60
Manufacturing employment,Nov-17,2017,-0.2,0.13
Construction employment,Nov-17,2017,0.9,0.29
Non-manufacturing employment,Nov-17,2017,1.4,5.66
"Gross value added at basic prices, 2013 KP",Nov-17,2017,2.1,384.99
Financial & Business Services Output,Nov-17,2017,2.6,226.21
"Distribution, Accommodation and Food Service Activities Output",Nov-17,2017,3.0,45.14
Transportation & Storage Output,Nov-17,2017,0.1,16.68
Other (public & private) Services output,Nov-17,2017,1.3,66.87
Manufacturing Output,Nov-17,2017,-0.4,8.27
Construction Output,Nov-17,2017,0.8,17.00
Non-manufacturing Output,Nov-17,2017,2.2,376.73
Civilian Workforce Jobs ,Nov-17,2017,1.4,5.79
Household Disposable Income,Nov-17,2017,1.0,218.42
Household Spending,Nov-17,2017,1.3,179.66
Financial Services employment,Nov-17,2017,0.1,0.37
Financial Services output,Nov-17,2017,1.5,61.16
Business Services employment,Nov-17,2017,1.9,1.98
Business Services output,Nov-17,2017,3.0,165.05
Financial & Business Services employment,Nov-17,2018,0.6,2.37
"Distribution, Accommodation and Food Service Activities employment",Nov-17,2018,0.4,1.09
Transportation & Storage employment,Nov-17,2018,-0.5,0.28
Other (public & private) Services employment,Nov-17,2018,0.1,1.60
Manufacturing employment,Nov-17,2018,-2.1,0.13
Construction employment,Nov-17,2018,0.6,0.30
Non-manufacturing employment,Nov-17,2018,0.4,5.68
"Gross value added at basic prices, 2013 KP",Nov-17,2018,1.8,391.77
Financial & Business Services Output,Nov-17,2018,2.7,232.27
"Distribution, Accommodation and Food Service Activities Output",Nov-17,2018,1.4,45.77
Transportation & Storage Output,Nov-17,2018,-0.6,16.58
Other (public & private) Services output,Nov-17,2018,0.4,67.15
Manufacturing Output,Nov-17,2018,-2.0,8.10
Construction Output,Nov-17,2018,0.3,17.04
Non-manufacturing Output,Nov-17,2018,1.8,383.67
Civilian Workforce Jobs ,Nov-17,2018,0.3,5.81
Household Disposable Income,Nov-17,2018,0.9,220.38
Household Spending,Nov-17,2018,0.7,180.90
Financial Services employment,Nov-17,2018,-0.1,0.37
Financial Services output,Nov-17,2018,1.3,61.94
Business Services employment,Nov-17,2018,0.8,2.00
Business Services output,Nov-17,2018,3.2,170.33
Financial & Business Services employment,Nov-17,2019,0.9,2.39
"Distribution, Accommodation and Food Service Activities employment",Nov-17,2019,0.3,1.09
Transportation & Storage employment,Nov-17,2019,-0.7,0.28
Other (public & private) Services employment,Nov-17,2019,0.4,1.60
Manufacturing employment,Nov-17,2019,-1.8,0.12
Construction employment,Nov-17,2019,0.7,0.30
Non-manufacturing employment,Nov-17,2019,0.6,5.72
"Gross value added at basic prices, 2013 KP",Nov-17,2019,2.6,401.77
Financial & Business Services Output,Nov-17,2019,3.4,240.24
"Distribution, Accommodation and Food Service Activities Output",Nov-17,2019,1.7,46.55
Transportation & Storage Output,Nov-17,2019,0.3,16.62
Other (public & private) Services output,Nov-17,2019,1.5,68.12
Manufacturing Output,Nov-17,2019,-1.2,8.01
Construction Output,Nov-17,2019,1.2,17.23
Non-manufacturing Output,Nov-17,2019,2.6,393.76
Civilian Workforce Jobs ,Nov-17,2019,0.5,5.84
Household Disposable Income,Nov-17,2019,1.8,224.39
Household Spending,Nov-17,2019,1.9,184.39
Financial Services employment,Nov-17,2019,0.3,0.37
Financial Services output,Nov-17,2019,1.8,63.08
Business Services employment,Nov-17,2019,1.1,2.02
Business Services output,Nov-17,2019,4.0,177.16
Financial & Business Services employment,Jun-17,2017,1.2,2.34
"Distribution, Accommodation and Food Service Activities employment",Jun-17,2017,1.3,1.08
Transportation & Storage employment,Jun-17,2017,-0.8,0.28
Other (public & private) Services employment,Jun-17,2017,0.1,1.58
Manufacturing employment,Jun-17,2017,-1.3,0.13
Construction employment,Jun-17,2017,-0.2,0.29
Non-manufacturing employment,Jun-17,2017,0.7,5.63
"Gross value added at basic prices, 2013 KP",Jun-17,2017,2.3,387.26
Financial & Business Services Output,Jun-17,2017,2.9,222.99
"Distribution, Accommodation and Food Service Activities Output",Jun-17,2017,2.8,43.76
Transportation & Storage Output,Jun-17,2017,-0.1,16.76
Other (public & private) Services output,Jun-17,2017,1.2,66.57
Manufacturing Output,Jun-17,2017,-0.2,8.34
Construction Output,Jun-17,2017,0.7,16.74
Non-manufacturing Output,Jun-17,2017,2.3,378.92
Civilian Workforce Jobs ,Jun-17,2017,0.7,5.76
Household Disposable Income,Jun-17,2017,1.5,219.61
Household Spending,Jun-17,2017,1.6,178.27
Financial Services employment,Jun-17,2017,-0.1,0.37
Financial Services output,Jun-17,2017,1.3,60.70
Business Services employment,Jun-17,2017,1.4,1.97
Business Services output,Jun-17,2017,3.5,162.29
Financial & Business Services employment,Jun-17,2018,0.8,2.36
"Distribution, Accommodation and Food Service Activities employment",Jun-17,2018,1.1,1.09
Transportation & Storage employment,Jun-17,2018,-0.1,0.28
Other (public & private) Services employment,Jun-17,2018,0.3,1.59
Manufacturing employment,Jun-17,2018,-1.7,0.12
Construction employment,Jun-17,2018,0.6,0.29
Non-manufacturing employment,Jun-17,2018,0.5,5.66
"Gross value added at basic prices, 2013 KP",Jun-17,2018,2.4,396.62
Financial & Business Services Output,Jun-17,2018,3.5,230.84
"Distribution, Accommodation and Food Service Activities Output",Jun-17,2018,2.7,44.94
Transportation & Storage Output,Jun-17,2018,-0.1,16.74
Other (public & private) Services output,Jun-17,2018,0.7,67.05
Manufacturing Output,Jun-17,2018,-1.0,8.25
Construction Output,Jun-17,2018,1.0,16.90
Non-manufacturing Output,Jun-17,2018,2.5,388.37
Civilian Workforce Jobs ,Jun-17,2018,0.5,5.78
Household Disposable Income,Jun-17,2018,1.3,222.56
Household Spending,Jun-17,2018,1.2,180.42
Financial Services employment,Jun-17,2018,0.2,0.37
Financial Services output,Jun-17,2018,1.7,61.71
Business Services employment,Jun-17,2018,0.9,1.99
Business Services output,Jun-17,2018,4.2,169.13
Financial & Business Services employment,Jun-17,2019,1.0,2.39
"Distribution, Accommodation and Food Service Activities employment",Jun-17,2019,1.2,1.10
Transportation & Storage employment,Jun-17,2019,-0.3,0.28
Other (public & private) Services employment,Jun-17,2019,0.6,1.60
Manufacturing employment,Jun-17,2019,-1.9,0.12
Construction employment,Jun-17,2019,1.0,0.30
Non-manufacturing employment,Jun-17,2019,0.8,5.70
"Gross value added at basic prices, 2013 KP",Jun-17,2019,2.9,408.10
Financial & Business Services Output,Jun-17,2019,4.1,240.19
"Distribution, Accommodation and Food Service Activities Output",Jun-17,2019,3.3,46.43
Transportation & Storage Output,Jun-17,2019,0.1,16.76
Other (public & private) Services output,Jun-17,2019,1.0,67.73
Manufacturing Output,Jun-17,2019,-1.5,8.13
Construction Output,Jun-17,2019,1.2,17.11
Non-manufacturing Output,Jun-17,2019,3.0,399.97
Civilian Workforce Jobs ,Jun-17,2019,0.7,5.82
Household Disposable Income,Jun-17,2019,2.5,228.16
Household Spending,Jun-17,2019,2.5,184.95
Financial Services employment,Jun-17,2019,0.4,0.37
Financial Services output,Jun-17,2019,2.0,62.96
