Category,Forecast Created,Forecast Year,Growth Rate (% change on previous year),Levels (GBPbn)
Business Services employment,Jun-17,2019,1.2,2.02
Business Services output,Jun-17,2019,4.8,177.23
Financial & Business Services employment,Nov-16,2016,2.8,2.33
"Distribution, Accommodation and Food Service Activities employment",Nov-16,2016,3.5,1.06
Transportation & Storage employment,Nov-16,2016,-0.8,0.28
Other (public & private) Services employment,Nov-16,2016,-0.1,1.56
Manufacturing employment,Nov-16,2016,-0.5,0.13
Construction employment,Nov-16,2016,1.2,0.30
Non-manufacturing employment,Nov-16,2016,2.6,5.62
"Gross value added at basic prices, 2013 KP",Nov-16,2016,2.8,378.79
Financial & Business Services Output,Nov-16,2016,3.3,226.94
"Distribution, Accommodation and Food Service Activities Output",Nov-16,2016,3.7,38.81
Transportation & Storage Output,Nov-16,2016,0.1,15.80
Other (public & private) Services output,Nov-16,2016,1.0,64.95
Manufacturing Output,Nov-16,2016,-2.4,8.44
Construction Output,Nov-16,2016,2.0,17.12
Non-manufacturing Output,Nov-16,2016,2.9,370.35
Civilian Workforce Jobs ,Nov-16,2016,2.5,5.75
Household Disposable Income,Nov-16,2016,2.2,200.71
Household Spending,Nov-16,2016,3.3,170.32
Financial Services employment,Nov-16,2016,0.8,0.39
Financial Services output,Nov-16,2016,1.0,66.93
Business Services employment,Nov-16,2016,3.2,1.94
Business Services output,Nov-16,2016,4.3,160.01
Financial & Business Services employment,Nov-16,2017,1.2,2.36
"Distribution, Accommodation and Food Service Activities employment",Nov-16,2017,2.1,1.08
Transportation & Storage employment,Nov-16,2017,-0.8,0.28
Other (public & private) Services employment,Nov-16,2017,0.1,1.56
Manufacturing employment,Nov-16,2017,-0.5,0.13
Construction employment,Nov-16,2017,0.4,0.30
Non-manufacturing employment,Nov-16,2017,1.2,5.69
"Gross value added at basic prices, 2013 KP",Nov-16,2017,2.0,386.37
Financial & Business Services Output,Nov-16,2017,2.4,232.28
"Distribution, Accommodation and Food Service Activities Output",Nov-16,2017,2.8,39.90
Transportation & Storage Output,Nov-16,2017,-0.1,15.78
Other (public & private) Services output,Nov-16,2017,0.9,65.54
Manufacturing Output,Nov-16,2017,-0.5,8.39
Construction Output,Nov-16,2017,0.5,17.21
Non-manufacturing Output,Nov-16,2017,2.1,377.97
Civilian Workforce Jobs ,Nov-16,2017,1.2,5.82
Household Disposable Income,Nov-16,2017,1.5,203.72
Household Spending,Nov-16,2017,1.3,172.54
Financial Services employment,Nov-16,2017,0.0,0.39
Financial Services output,Nov-16,2017,0.8,67.47
Business Services employment,Nov-16,2017,1.4,1.96
Business Services output,Nov-16,2017,3.0,164.81
Financial & Business Services employment,Nov-16,2018,0.7,2.37
"Distribution, Accommodation and Food Service Activities employment",Nov-16,2018,1.2,1.10
Transportation & Storage employment,Nov-16,2018,-0.1,0.27
Other (public & private) Services employment,Nov-16,2018,0.3,1.56
Manufacturing employment,Nov-16,2018,-1.4,0.13
Construction employment,Nov-16,2018,0.4,0.31
Non-manufacturing employment,Nov-16,2018,0.3,5.71
"Gross value added at basic prices, 2013 KP",Nov-16,2018,2.3,395.25
Financial & Business Services Output,Nov-16,2018,3.4,240.18
"Distribution, Accommodation and Food Service Activities Output",Nov-16,2018,2.7,40.98
Transportation & Storage Output,Nov-16,2018,-0.1,15.76
Other (public & private) Services output,Nov-16,2018,0.7,66.00
Manufacturing Output,Nov-16,2018,-1.0,8.31
Construction Output,Nov-16,2018,1.0,17.38
Non-manufacturing Output,Nov-16,2018,2.4,386.94
Civilian Workforce Jobs ,Nov-16,2018,0.3,5.83
Household Disposable Income,Nov-16,2018,1.3,206.36
Household Spending,Nov-16,2018,1.3,174.78
Financial Services employment,Nov-16,2018,0.2,0.39
Financial Services output,Nov-16,2018,1.7,68.62
Business Services employment,Nov-16,2018,0.8,1.98
Business Services output,Nov-16,2018,4.1,171.57
Financial & Business Services employment,May-16,2016,0.9,2.26
"Distribution, Accommodation and Food Service Activities employment",May-16,2016,2.5,1.04
Transportation & Storage employment,May-16,2016,0.5,0.28
Other (public & private) Services employment,May-16,2016,-0.9,1.53
Manufacturing employment,May-16,2016,-3.9,0.12
Construction employment,May-16,2016,3.1,0.31
Non-manufacturing employment,May-16,2016,0.8,5.45
"Gross value added at basic prices, 2013 KP",May-16,2016,2.9,380.86
Financial & Business Services Output,May-16,2016,4.3,228.86
"Distribution, Accommodation and Food Service Activities Output",May-16,2016,3.6,40.96
Transportation & Storage Output,May-16,2016,0.3,16.07
Other (public & private) Services output,May-16,2016,0.6,63.77
Manufacturing Output,May-16,2016,-2.6,8.37
Construction Output,May-16,2016,2.9,17.70
Non-manufacturing Output,May-16,2016,3.1,372.49
Civilian Workforce Jobs ,May-16,2016,0.7,5.58
Household Disposable Income,May-16,2016,2.9,204.68
Household Spending,May-16,2016,2.7,170.75
Financial Services employment,May-16,2016,1.0,0.39
Financial Services output,May-16,2016,2.6,66.01
Business Services employment,May-16,2016,0.8,1.87
Business Services output,May-16,2016,5.0,162.85
Financial & Business Services employment,May-16,2017,1.2,2.29
"Distribution, Accommodation and Food Service Activities employment",May-16,2017,1.6,1.06
Transportation & Storage employment,May-16,2017,0.6,0.28
Other (public & private) Services employment,May-16,2017,-0.2,1.52
Manufacturing employment,May-16,2017,-1.9,0.12
Construction employment,May-16,2017,2.4,0.31
Non-manufacturing employment,May-16,2017,0.8,5.50
"Gross value added at basic prices, 2013 KP",May-16,2017,3.4,393.76
Financial & Business Services Output,May-16,2017,4.5,239.24
"Distribution, Accommodation and Food Service Activities Output",May-16,2017,3.4,42.35
Transportation & Storage Output,May-16,2017,0.3,16.12
Other (public & private) Services output,May-16,2017,0.5,64.09
Manufacturing Output,May-16,2017,-2.2,8.18
Construction Output,May-16,2017,2.3,18.11
Non-manufacturing Output,May-16,2017,3.5,385.57
Civilian Workforce Jobs ,May-16,2017,0.7,5.62
Household Disposable Income,May-16,2017,2.4,209.51
Household Spending,May-16,2017,2.6,175.16
Financial Services employment,May-16,2017,0.6,0.40
Financial Services output,May-16,2017,3.2,68.11
Business Services employment,May-16,2017,1.4,1.89
Business Services output,May-16,2017,5.1,171.13
Financial & Business Services employment,May-16,2018,1.2,2.32
"Distribution, Accommodation and Food Service Activities employment",May-16,2018,1.0,1.07
Transportation & Storage employment,May-16,2018,0.4,0.28
Other (public & private) Services employment,May-16,2018,0.0,1.52
Manufacturing employment,May-16,2018,-1.9,0.12
Construction employment,May-16,2018,1.7,0.32
Non-manufacturing employment,May-16,2018,0.8,5.54
"Gross value added at basic prices, 2013 KP",May-16,2018,3.3,406.58
Financial & Business Services Output,May-16,2018,4.7,250.37
"Distribution, Accommodation and Food Service Activities Output",May-16,2018,3.2,43.72
Transportation & Storage Output,May-16,2018,0.3,16.18
Other (public & private) Services output,May-16,2018,0.4,64.34
Manufacturing Output,May-16,2018,-2.3,7.99
Construction Output,May-16,2018,2.2,18.51
Non-manufacturing Output,May-16,2018,3.4,398.59
Civilian Workforce Jobs ,May-16,2018,0.7,5.66
Household Disposable Income,May-16,2018,2.0,213.66
Household Spending,May-16,2018,2.5,179.54
Financial Services employment,May-16,2018,0.6,0.40
Financial Services output,May-16,2018,4.0,70.85
Business Services employment,May-16,2018,1.4,1.92
Business Services output,May-16,2018,4.9,179.53
Financial & Business Services employment,Nov-15,2015,2.5,2.30
"Distribution, Accommodation and Food Service Activities employment",Nov-15,2015,2.4,1.07
Transportation & Storage employment,Nov-15,2015,1.7,0.28
Other (public & private) Services employment,Nov-15,2015,-0.7,1.52
Manufacturing employment,Nov-15,2015,0.0,0.13
Construction employment,Nov-15,2015,3.0,0.29
Non-manufacturing employment,Nov-15,2015,1.8,5.52
"Gross value added at basic prices, 2013 KP",Nov-15,2015,3.4,350.94
Financial & Business Services Output,Nov-15,2015,3.8,196.53
"Distribution, Accommodation and Food Service Activities Output",Nov-15,2015,4.2,40.83
Transportation & Storage Output,Nov-15,2015,3.6,17.43
Other (public & private) Services output,Nov-15,2015,1.0,63.71
Manufacturing Output,Nov-15,2015,1.5,8.26
Construction Output,Nov-15,2015,4.0,16.72
Non-manufacturing Output,Nov-15,2015,3.5,342.68
Civilian Workforce Jobs ,Nov-15,2015,1.7,5.65
Household Disposable Income,Nov-15,2015,3.0,189.43
Household Spending,Nov-15,2015,3.0,157.19
Financial Services employment,Nov-15,2015,0.0,0.36
Financial Services output,Nov-15,2015,2.2,54.02
Business Services employment,Nov-15,2015,3.0,1.94
Business Services output,Nov-15,2015,4.5,142.51
Financial & Business Services employment,Nov-15,2016,2.2,2.35
"Distribution, Accommodation and Food Service Activities employment",Nov-15,2016,2.0,1.10
Transportation & Storage employment,Nov-15,2016,1.0,0.29
Other (public & private) Services employment,Nov-15,2016,-1.0,1.51
Manufacturing employment,Nov-15,2016,-0.2,0.13
Construction employment,Nov-15,2016,2.7,0.30
Non-manufacturing employment,Nov-15,2016,1.2,5.59
"Gross value added at basic prices, 2013 KP",Nov-15,2016,3.2,362.19
Financial & Business Services Output,Nov-15,2016,3.6,203.53
"Distribution, Accommodation and Food Service Activities Output",Nov-15,2016,3.1,42.11
Transportation & Storage Output,Nov-15,2016,2.7,17.90
Other (public & private) Services output,Nov-15,2016,0.8,64.24
Manufacturing Output,Nov-15,2016,1.0,8.35
Construction Output,Nov-15,2016,4.2,17.43
Non-manufacturing Output,Nov-15,2016,3.3,353.84
Civilian Workforce Jobs ,Nov-15,2016,1.2,5.71
Household Disposable Income,Nov-15,2016,2.9,194.97
Household Spending,Nov-15,2016,2.9,161.75
Financial Services employment,Nov-15,2016,0.2,0.36
Financial Services output,Nov-15,2016,2.4,55.32
Business Services employment,Nov-15,2016,2.5,1.99
Business Services output,Nov-15,2016,4.0,148.20
Financial & Business Services employment,Nov-15,2017,1.3,2.38
"Distribution, Accommodation and Food Service Activities employment",Nov-15,2017,1.4,1.11
Transportation & Storage employment,Nov-15,2017,0.9,0.29
Other (public & private) Services employment,Nov-15,2017,-0.2,1.50
Manufacturing employment,Nov-15,2017,-0.1,0.13
Construction employment,Nov-15,2017,2.0,0.31
Non-manufacturing employment,Nov-15,2017,0.7,5.63
"Gross value added at basic prices, 2013 KP",Nov-15,2017,2.7,371.95
Financial & Business Services Output,Nov-15,2017,3.5,210.55
"Distribution, Accommodation and Food Service Activities Output",Nov-15,2017,2.5,43.15
Transportation & Storage Output,Nov-15,2017,2.6,18.37
Other (public & private) Services output,Nov-15,2017,0.5,64.56
Manufacturing Output,Nov-15,2017,0.5,8.39
Construction Output,Nov-15,2017,3.5,18.03
Non-manufacturing Output,Nov-15,2017,2.7,363.55
Civilian Workforce Jobs ,Nov-15,2017,0.7,5.75
Household Disposable Income,Nov-15,2017,2.9,200.62
Household Spending,Nov-15,2017,2.6,165.91
Financial Services employment,Nov-15,2017,0.2,0.36
Financial Services output,Nov-15,2017,2.5,56.70
Business Services employment,Nov-15,2017,1.5,2.02
Business Services output,Nov-15,2017,3.8,153.85
Financial & Business Services employment,May-15,2015,2.5,2.30
"Distribution, Accommodation and Food Service Activities employment",May-15,2015,2.4,1.07
Transportation & Storage employment,May-15,2015,2.0,0.27
Other (public & private) Services employment,May-15,2015,-0.5,1.53
Manufacturing employment,May-15,2015,0.0,0.13
Construction employment,May-15,2015,2.8,0.29
Non-manufacturing employment,May-15,2015,1.7,5.51
"Gross value added at basic prices, 2013 KP",May-15,2015,3.6,349.51
Financial & Business Services Output,May-15,2015,4.2,196.38
"Distribution, Accommodation and Food Service Activities Output",May-15,2015,3.3,40.59
Transportation & Storage Output,May-15,2015,3.8,17.48
Other (public & private) Services output,May-15,2015,1.4,63.60
Manufacturing Output,May-15,2015,1.5,8.17
Construction Output,May-15,2015,4.0,16.13
Non-manufacturing Output,May-15,2015,3.6,341.34
Civilian Workforce Jobs ,May-15,2015,1.7,5.64
Household Disposable Income,May-15,2015,3.0,191.26
Household Spending,May-15,2015,3.0,156.82
Financial Services employment,May-15,2015,0.0,0.36
Financial Services output,May-15,2015,2.2,53.62
Business Services employment,May-15,2015,3.0,1.94
Business Services output,May-15,2015,5.1,142.77
Financial & Business Services employment,May-15,2016,2.1,2.35
"Distribution, Accommodation and Food Service Activities employment",May-15,2016,2.0,1.09
Transportation & Storage employment,May-15,2016,1.1,0.28
Other (public & private) Services employment,May-15,2016,-0.8,1.52
Manufacturing employment,May-15,2016,-0.2,0.13
Construction employment,May-15,2016,2.6,0.30
Non-manufacturing employment,May-15,2016,1.2,5.57
"Gross value added at basic prices, 2013 KP",May-15,2016,3.2,360.87
Financial & Business Services Output,May-15,2016,3.7,203.57
"Distribution, Accommodation and Food Service Activities Output",May-15,2016,2.4,41.56
Transportation & Storage Output,May-15,2016,2.6,17.94
Other (public & private) Services output,May-15,2016,1.0,64.25
Manufacturing Output,May-15,2016,1.0,8.25
Construction Output,May-15,2016,4.5,16.84
Non-manufacturing Output,May-15,2016,3.3,352.61
Civilian Workforce Jobs ,May-15,2016,1.2,5.70
Household Disposable Income,May-15,2016,2.9,196.81
Household Spending,May-15,2016,2.9,161.38
Financial Services employment,May-15,2016,0.1,0.36
Financial Services output,May-15,2016,2.4,54.88
Business Services employment,May-15,2016,2.5,1.98
Business Services output,May-15,2016,4.2,148.69
Financial & Business Services employment,May-15,2017,1.2,2.38
"Distribution, Accommodation and Food Service Activities employment",May-15,2017,1.5,1.11
Transportation & Storage employment,May-15,2017,0.9,0.28
Other (public & private) Services employment,May-15,2017,0.0,1.52
Manufacturing employment,May-15,2017,-0.1,0.13
Construction employment,May-15,2017,2.0,0.30
Non-manufacturing employment,May-15,2017,0.7,5.61
"Gross value added at basic prices, 2013 KP",May-15,2017,2.5,369.89
Financial & Business Services Output,May-15,2017,3.3,210.19
"Distribution, Accommodation and Food Service Activities Output",May-15,2017,2.3,42.53
Transportation & Storage Output,May-15,2017,2.5,18.38
Other (public & private) Services output,May-15,2017,0.6,64.63
Manufacturing Output,May-15,2017,0.5,8.30
Construction Output,May-15,2017,3.5,17.43
Non-manufacturing Output,May-15,2017,2.5,361.59
Civilian Workforce Jobs ,May-15,2017,0.7,5.74
Household Disposable Income,May-15,2017,2.8,202.33
Household Spending,May-15,2017,2.4,165.30
Financial Services employment,May-15,2017,0.1,0.36
Financial Services output,May-15,2017,2.5,56.22
Business Services employment,May-15,2017,1.4,2.01
Business Services output,May-15,2017,3.6,153.97