Period beginning,Period ending,Days in period,Journey type,Passengers (m),Beginning Month,Beginning Year,Ending Month,Ending Year
2013-07-21,2013-08-17,28,Emirates Airline Journeys (m),0.19,7,2013,8,2013
2013-08-18,2013-09-14,28,Emirates Airline Journeys (m),0.17,8,2013,9,2013
2013-09-15,2013-10-12,28,Emirates Airline Journeys (m),0.1,9,2013,10,2013
2013-10-13,2013-11-09,28,Emirates Airline Journeys (m),0.1,10,2013,11,2013
2013-11-10,2013-12-07,28,Emirates Airline Journeys (m),0.08,11,2013,12,2013
2013-12-08,2014-01-04,28,Emirates Airline Journeys (m),0.07,12,2013,1,2014
2014-01-05,2014-02-01,28,Emirates Airline Journeys (m),0.07,1,2014,2,2014
2014-02-02,2014-03-01,28,Emirates Airline Journeys (m),0.08,2,2014,3,2014
2014-03-02,2014-03-31,30,Emirates Airline Journeys (m),0.09,3,2014,3,2014
2014-04-01,2014-04-26,26,Emirates Airline Journeys (m),0.14,4,2014,4,2014
2014-04-27,2014-05-24,28,Emirates Airline Journeys (m),0.11,4,2014,5,2014
2014-05-25,2014-06-21,28,Emirates Airline Journeys (m),0.13,5,2014,6,2014
2014-06-22,2014-07-19,28,Emirates Airline Journeys (m),0.12,6,2014,7,2014
2014-07-20,2014-08-16,28,Emirates Airline Journeys (m),0.18,7,2014,8,2014
2014-08-17,2014-09-13,28,Emirates Airline Journeys (m),0.17,8,2014,9,2014
2014-09-14,2014-10-11,28,Emirates Airline Journeys (m),0.11,9,2014,10,2014
2014-10-12,2014-11-08,28,Emirates Airline Journeys (m),0.13,10,2014,11,2014
2014-11-09,2014-12-06,28,Emirates Airline Journeys (m),0.09,11,2014,12,2014
2014-12-07,2015-01-03,28,Emirates Airline Journeys (m),0.09,12,2014,1,2015
2015-01-04,2015-01-31,28,Emirates Airline Journeys (m),0.07,1,2015,1,2015
2015-02-01,2015-02-28,28,Emirates Airline Journeys (m),0.12,2,2015,2,2015
2015-03-01,2015-03-31,31,Emirates Airline Journeys (m),0.07,3,2015,3,2015
2015-04-01,2015-05-02,26,Emirates Airline Journeys (m),0.16,4,2015,5,2015
2015-05-03,2015-05-30,28,Emirates Airline Journeys (m),0.15,5,2015,5,2015
2015-05-31,2015-06-27,28,Emirates Airline Journeys (m),0.12,5,2015,6,2015
2015-06-28,2015-07-25,28,Emirates Airline Journeys (m),0.15,6,2015,7,2015
2015-07-26,2015-08-22,28,Emirates Airline Journeys (m),0.19,7,2015,8,2015
2015-08-23,2015-09-19,28,Emirates Airline Journeys (m),0.12,8,2015,9,2015
2015-09-20,2015-10-17,28,Emirates Airline Journeys (m),0.12,9,2015,10,2015
2015-10-18,2015-11-14,28,Emirates Airline Journeys (m),0.14,10,2015,11,2015
2015-11-15,2015-12-12,28,Emirates Airline Journeys (m),0.05,11,2015,12,2015
2015-12-13,2016-01-09,28,Emirates Airline Journeys (m),0.08,12,2015,1,2016
2016-01-10,2016-02-06,28,Emirates Airline Journeys (m),0.07,1,2016,2,2016
2016-02-07,2016-03-05,28,Emirates Airline Journeys (m),0.11,2,2016,3,2016
2016-03-06,2016-03-31,31,Emirates Airline Journeys (m),0.08,3,2016,3,2016
2016-04-01,2016-04-30,30,Emirates Airline Journeys (m),0.14,4,2016,4,2016
2016-05-01,2016-05-28,28,Emirates Airline Journeys (m),0.13,5,2016,5,2016
2016-05-29,2016-06-25,28,Emirates Airline Journeys (m),0.11,5,2016,6,2016
2016-06-26,2016-07-23,28,Emirates Airline Journeys (m),0.13,6,2016,7,2016
2016-07-24,2016-08-20,28,Emirates Airline Journeys (m),0.18,7,2016,8,2016
2016-08-21,2016-09-17,28,Emirates Airline Journeys (m),0.14,8,2016,9,2016
2016-09-18,2016-10-15,28,Emirates Airline Journeys (m),0.1,9,2016,10,2016
2016-10-16,2016-11-12,28,Emirates Airline Journeys (m),0.12,10,2016,11,2016
2016-11-13,2016-12-10,28,Emirates Airline Journeys (m),0.08,11,2016,12,2016
2016-12-11,2017-01-07,28,Emirates Airline Journeys (m),0.09,12,2016,1,2017
2017-01-08,2017-02-04,28,Emirates Airline Journeys (m),0.08,1,2017,2,2017
2017-02-05,2017-03-04,28,Emirates Airline Journeys (m),0.11,2,2017,3,2017
2017-03-05,2017-03-31,27,Emirates Airline Journeys (m),0.07,3,2017,3,2017
2017-04-01,2017-04-29,29,Emirates Airline Journeys (m),0.16,4,2017,4,2017
2017-04-30,2017-05-27,28,Emirates Airline Journeys (m),0.11,4,2017,5,2017
2017-05-28,2017-06-24,28,Emirates Airline Journeys (m),0.11,5,2017,6,2017
2017-06-25,2017-07-22,28,Emirates Airline Journeys (m),0.13,6,2017,7,2017
2017-07-23,2017-08-19,28,Emirates Airline Journeys (m),0.18,7,2017,8,2017
2017-08-20,2017-09-16,28,Emirates Airline Journeys (m),0.12,8,2017,9,2017
2017-09-17,2017-10-14,28,Emirates Airline Journeys (m),0.1,9,2017,10,2017
2017-10-15,2017-11-11,28,Emirates Airline Journeys (m),0.11,10,2017,11,2017
2017-11-12,2017-12-09,28,Emirates Airline Journeys (m),0.08,11,2017,12,2017
2017-12-10,2018-01-06,28,Emirates Airline Journeys (m),0.06,12,2017,1,2018
2018-01-07,2018-02-03,28,Emirates Airline Journeys (m),0.07,1,2018,2,2018
2018-02-04,2018-03-03,28,Emirates Airline Journeys (m),0.1,2,2018,3,2018
2018-03-04,2018-03-31,28,Emirates Airline Journeys (m),0.1,3,2018,3,2018
2018-04-01,2018-04-28,28,Emirates Airline Journeys (m),0.1,4,2018,4,2018
2018-04-29,2018-05-26,28,Emirates Airline Journeys (m),0.1,4,2018,5,2018
2018-05-27,2018-06-23,28,Emirates Airline Journeys (m),0.1,5,2018,6,2018
2018-06-24,2018-07-21,28,Emirates Airline Journeys (m),0.1,6,2018,7,2018
2018-07-22,2018-08-18,28,Emirates Airline Journeys (m),0.2,7,2018,8,2018
2018-08-19,2018-09-15,28,Emirates Airline Journeys (m),0.1,8,2018,9,2018
2018-09-16,2018-10-13,28,Emirates Airline Journeys (m),0.1,9,2018,10,2018
2010-04-01,2010-05-01,31,TfL Rail Journeys (m),,4,2010,5,2010
2010-05-02,2010-05-29,28,TfL Rail Journeys (m),,5,2010,5,2010
2010-05-30,2010-06-26,28,TfL Rail Journeys (m),,5,2010,6,2010
2010-06-27,2010-07-24,28,TfL Rail Journeys (m),,6,2010,7,2010
2010-07-25,2010-08-21,28,TfL Rail Journeys (m),,7,2010,8,2010
2010-08-22,2010-09-18,28,TfL Rail Journeys (m),,8,2010,9,2010
2010-09-19,2010-10-16,28,TfL Rail Journeys (m),,9,2010,10,2010
2010-10-17,2010-11-13,28,TfL Rail Journeys (m),,10,2010,11,2010
2010-11-14,2010-12-11,28,TfL Rail Journeys (m),,11,2010,12,2010
2010-12-12,2011-01-08,28,TfL Rail Journeys (m),,12,2010,1,2011
2011-01-09,2011-02-05,28,TfL Rail Journeys (m),,1,2011,2,2011
2011-02-06,2011-03-05,28,TfL Rail Journeys (m),,2,2011,3,2011
2011-03-06,2011-03-31,26,TfL Rail Journeys (m),,3,2011,3,2011
2011-04-01,2011-04-30,30,TfL Rail Journeys (m),,4,2011,4,2011
2011-05-01,2011-05-28,28,TfL Rail Journeys (m),,5,2011,5,2011
2011-05-29,2011-06-25,28,TfL Rail Journeys (m),,5,2011,6,2011
2011-06-26,2011-07-23,28,TfL Rail Journeys (m),,6,2011,7,2011
2011-07-24,2011-08-20,28,TfL Rail Journeys (m),,7,2011,8,2011
2011-08-21,2011-09-17,28,TfL Rail Journeys (m),,8,2011,9,2011
2011-09-18,2011-10-15,28,TfL Rail Journeys (m),,9,2011,10,2011
2011-10-16,2011-11-12,28,TfL Rail Journeys (m),,10,2011,11,2011
2011-11-13,2011-12-10,28,TfL Rail Journeys (m),,11,2011,12,2011
2011-12-11,2012-01-07,28,TfL Rail Journeys (m),,12,2011,1,2012
2012-01-08,2012-02-04,28,TfL Rail Journeys (m),,1,2012,2,2012
2012-02-05,2012-03-03,28,TfL Rail Journeys (m),,2,2012,3,2012
2012-03-04,2012-03-31,28,TfL Rail Journeys (m),,3,2012,3,2012
2012-04-01,2012-04-28,28,TfL Rail Journeys (m),,4,2012,4,2012
2012-04-29,2012-05-26,28,TfL Rail Journeys (m),,4,2012,5,2012
2012-05-27,2012-06-23,28,TfL Rail Journeys (m),,5,2012,6,2012
2012-06-24,2012-07-21,28,TfL Rail Journeys (m),,6,2012,7,2012
2012-07-22,2012-08-18,28,TfL Rail Journeys (m),,7,2012,8,2012
2012-08-19,2012-09-15,28,TfL Rail Journeys (m),,8,2012,9,2012
2012-09-16,2012-10-13,28,TfL Rail Journeys (m),,9,2012,10,2012
2012-10-14,2012-11-10,28,TfL Rail Journeys (m),,10,2012,11,2012
2012-11-11,2012-12-08,28,TfL Rail Journeys (m),,11,2012,12,2012
2012-12-09,2013-01-05,28,TfL Rail Journeys (m),,12,2012,1,2013
2013-01-06,2013-02-02,28,TfL Rail Journeys (m),,1,2013,2,2013
2013-02-03,2013-03-02,28,TfL Rail Journeys (m),,2,2013,3,2013
2013-03-03,2013-03-31,29,TfL Rail Journeys (m),,3,2013,3,2013
2013-04-01,2013-04-27,27,TfL Rail Journeys (m),,4,2013,4,2013
2013-04-28,2013-05-25,28,TfL Rail Journeys (m),,4,2013,5,2013
2013-05-26,2013-06-22,28,TfL Rail Journeys (m),,5,2013,6,2013
2013-06-23,2013-07-20,28,TfL Rail Journeys (m),,6,2013,7,2013
2013-07-21,2013-08-17,28,TfL Rail Journeys (m),,7,2013,8,2013
2013-08-18,2013-09-14,28,TfL Rail Journeys (m),,8,2013,9,2013
2013-09-15,2013-10-12,28,TfL Rail Journeys (m),,9,2013,10,2013
2013-10-13,2013-11-09,28,TfL Rail Journeys (m),,10,2013,11,2013
2013-11-10,2013-12-07,28,TfL Rail Journeys (m),,11,2013,12,2013
2013-12-08,2014-01-04,28,TfL Rail Journeys (m),,12,2013,1,2014
2014-01-05,2014-02-01,28,TfL Rail Journeys (m),,1,2014,2,2014
2014-02-02,2014-03-01,28,TfL Rail Journeys (m),,2,2014,3,2014
2014-03-02,2014-03-31,30,TfL Rail Journeys (m),,3,2014,3,2014
2014-04-01,2014-04-26,26,TfL Rail Journeys (m),2.9,4,2014,4,2014
2014-04-27,2014-05-24,28,TfL Rail Journeys (m),,4,2014,5,2014
2014-05-25,2014-06-21,28,TfL Rail Journeys (m),,5,2014,6,2014
2014-06-22,2014-07-19,28,TfL Rail Journeys (m),,6,2014,7,2014
2014-07-20,2014-08-16,28,TfL Rail Journeys (m),,7,2014,8,2014
2014-08-17,2014-09-13,28,TfL Rail Journeys (m),,8,2014,9,2014
2014-09-14,2014-10-11,28,TfL Rail Journeys (m),,9,2014,10,2014
2014-10-12,2014-11-08,28,TfL Rail Journeys (m),,10,2014,11,2014
2014-11-09,2014-12-06,28,TfL Rail Journeys (m),,11,2014,12,2014
2014-12-07,2015-01-03,28,TfL Rail Journeys (m),,12,2014,1,2015
2015-01-04,2015-01-31,28,TfL Rail Journeys (m),,1,2015,1,2015
2015-02-01,2015-02-28,28,TfL Rail Journeys (m),,2,2015,2,2015
2015-03-01,2015-03-31,31,TfL Rail Journeys (m),,3,2015,3,2015
2015-04-01,2015-05-02,26,TfL Rail Journeys (m),,4,2015,5,2015
2015-05-03,2015-05-30,28,TfL Rail Journeys (m),,5,2015,5,2015
2015-05-31,2015-06-27,28,TfL Rail Journeys (m),3.6,5,2015,6,2015
2015-06-28,2015-07-25,28,TfL Rail Journeys (m),3.8,6,2015,7,2015
2015-07-26,2015-08-22,28,TfL Rail Journeys (m),3.7,7,2015,8,2015
2015-08-23,2015-09-19,28,TfL Rail Journeys (m),3.7,8,2015,9,2015
2015-09-20,2015-10-17,28,TfL Rail Journeys (m),4.1,9,2015,10,2015
2015-10-18,2015-11-14,28,TfL Rail Journeys (m),4.2,10,2015,11,2015
2015-11-15,2015-12-12,28,TfL Rail Journeys (m),4.2,11,2015,12,2015
2015-12-13,2016-01-09,28,TfL Rail Journeys (m),3.0,12,2015,1,2016
2016-01-10,2016-02-06,28,TfL Rail Journeys (m),3.8,1,2016,2,2016
2016-02-07,2016-03-05,28,TfL Rail Journeys (m),3.2,2,2016,3,2016
2016-03-06,2016-03-31,31,TfL Rail Journeys (m),2.8,3,2016,3,2016
2016-04-01,2016-04-30,30,TfL Rail Journeys (m),4.0,4,2016,4,2016
2016-05-01,2016-05-28,28,TfL Rail Journeys (m),3.7,5,2016,5,2016
2016-05-29,2016-06-25,28,TfL Rail Journeys (m),3.5,5,2016,6,2016
2016-06-26,2016-07-23,28,TfL Rail Journeys (m),3.8,6,2016,7,2016
2016-07-24,2016-08-20,28,TfL Rail Journeys (m),3.6,7,2016,8,2016
2016-08-21,2016-09-17,28,TfL Rail Journeys (m),3.5,8,2016,9,2016
2016-09-18,2016-10-15,28,TfL Rail Journeys (m),3.7,9,2016,10,2016
2016-10-16,2016-11-12,28,TfL Rail Journeys (m),3.8,10,2016,11,2016
2016-11-13,2016-12-10,28,TfL Rail Journeys (m),4.0,11,2016,12,2016
2016-12-11,2017-01-07,28,TfL Rail Journeys (m),3.3,12,2016,1,2017
2017-01-08,2017-02-04,28,TfL Rail Journeys (m),3.8,1,2017,2,2017
2017-02-05,2017-03-04,28,TfL Rail Journeys (m),3.6,2,2017,3,2017
2017-03-05,2017-03-31,27,TfL Rail Journeys (m),3.4,3,2017,3,2017
2017-04-01,2017-04-29,29,TfL Rail Journeys (m),3.3,4,2017,4,2017
2017-04-30,2017-05-27,28,TfL Rail Journeys (m),3.5,4,2017,5,2017
2017-05-28,2017-06-24,28,TfL Rail Journeys (m),3.4,5,2017,6,2017
2017-06-25,2017-07-22,28,TfL Rail Journeys (m),3.7,6,2017,7,2017
2017-07-23,2017-08-19,28,TfL Rail Journeys (m),3.5,7,2017,8,2017
2017-08-20,2017-09-16,28,TfL Rail Journeys (m),3.3,8,2017,9,2017
2017-09-17,2017-10-14,28,TfL Rail Journeys (m),3.8,9,2017,10,2017
2017-10-15,2017-11-11,28,TfL Rail Journeys (m),3.7,10,2017,11,2017
2017-11-12,2017-12-09,28,TfL Rail Journeys (m),3.9,11,2017,12,2017
2017-12-10,2018-01-06,28,TfL Rail Journeys (m),2.9,12,2017,1,2018
2018-01-07,2018-02-03,28,TfL Rail Journeys (m),3.7,1,2018,2,2018
2018-02-04,2018-03-03,28,TfL Rail Journeys (m),3.4,2,2018,3,2018
2018-03-04,2018-03-31,28,TfL Rail Journeys (m),3.3,3,2018,3,2018
2018-04-01,2018-04-28,28,TfL Rail Journeys (m),3.5,4,2018,4,2018
2018-04-29,2018-05-26,28,TfL Rail Journeys (m),3.7,4,2018,5,2018
2018-05-27,2018-06-23,28,TfL Rail Journeys (m),4.2,5,2018,6,2018
2018-06-24,2018-07-21,28,TfL Rail Journeys (m),4.5,6,2018,7,2018
2018-07-22,2018-08-18,28,TfL Rail Journeys (m),4.1,7,2018,8,2018
2018-08-19,2018-09-15,28,TfL Rail Journeys (m),4.1,8,2018,9,2018
2018-09-16,2018-10-13,28,TfL Rail Journeys (m),4.7,9,2018,10,2018
2010-04-01,2010-05-01,31,Cycle Hires (m),0.076235,4,2010,5,2010
2010-05-02,2010-05-29,28,Cycle Hires (m),0.067838,5,2010,5,2010
2010-05-30,2010-06-26,28,Cycle Hires (m),0.072484,5,2010,6,2010
2010-06-27,2010-07-24,28,Cycle Hires (m),0.080428,6,2010,7,2010
2010-07-25,2010-08-21,28,Cycle Hires (m),0.21295799999999998,7,2010,8,2010
2010-08-22,2010-09-18,28,Cycle Hires (m),0.304824,8,2010,9,2010
2010-09-19,2010-10-16,28,Cycle Hires (m),0.364295,9,2010,10,2010
2010-10-17,2010-11-13,28,Cycle Hires (m),0.334129,10,2010,11,2010
2010-11-14,2010-12-11,28,Cycle Hires (m),0.305307,11,2010,12,2010
2010-12-12,2011-01-08,28,Cycle Hires (m),0.312663,12,2010,1,2011
2011-01-09,2011-02-05,28,Cycle Hires (m),0.443478,1,2011,2,2011
2011-02-06,2011-03-05,28,Cycle Hires (m),0.470707,2,2011,3,2011
2011-03-06,2011-03-31,26,Cycle Hires (m),0.526407,3,2011,3,2011
2011-04-01,2011-04-30,30,Cycle Hires (m),0.6299680000000001,4,2011,4,2011
2011-05-01,2011-05-28,28,Cycle Hires (m),0.588571,5,2011,5,2011
2011-05-29,2011-06-25,28,Cycle Hires (m),0.548135,5,2011,6,2011
2011-06-26,2011-07-23,28,Cycle Hires (m),0.589411,6,2011,7,2011
2011-07-24,2011-08-20,28,Cycle Hires (m),0.606457,7,2011,8,2011
2011-08-21,2011-09-17,28,Cycle Hires (m),0.570239,8,2011,9,2011
2011-09-18,2011-10-15,28,Cycle Hires (m),0.629057,9,2011,10,2011
2011-10-16,2011-11-12,28,Cycle Hires (m),0.579709,10,2011,11,2011
2011-11-13,2011-12-10,28,Cycle Hires (m),0.549742,11,2011,12,2011
2011-12-11,2012-01-07,28,Cycle Hires (m),0.421112,12,2011,1,2012
2012-01-08,2012-02-04,28,Cycle Hires (m),0.540615,1,2012,2,2012
2012-02-05,2012-03-03,28,Cycle Hires (m),0.587725,2,2012,3,2012
2012-03-04,2012-03-31,28,Cycle Hires (m),0.811664,3,2012,3,2012
2012-04-01,2012-04-28,28,Cycle Hires (m),0.613755,4,2012,4,2012
2012-04-29,2012-05-26,28,Cycle Hires (m),0.766466,4,2012,5,2012
2012-05-27,2012-06-23,28,Cycle Hires (m),0.844519,5,2012,6,2012
2012-06-24,2012-07-21,28,Cycle Hires (m),0.7964829999999999,6,2012,7,2012
2012-07-22,2012-08-18,28,Cycle Hires (m),0.931199,7,2012,8,2012
2012-08-19,2012-09-15,28,Cycle Hires (m),0.8555450000000001,8,2012,9,2012
2012-09-16,2012-10-13,28,Cycle Hires (m),0.8005180000000001,9,2012,10,2012
2012-10-14,2012-11-10,28,Cycle Hires (m),0.746324,10,2012,11,2012
2012-11-11,2012-12-08,28,Cycle Hires (m),0.680852,11,2012,12,2012
2012-12-09,2013-01-05,28,Cycle Hires (m),0.468438,12,2012,1,2013
2013-01-06,2013-02-02,28,Cycle Hires (m),0.5338149999999999,1,2013,2,2013
2013-02-03,2013-03-02,28,Cycle Hires (m),0.592615,2,2013,3,2013
2013-03-03,2013-03-31,29,Cycle Hires (m),0.53938,3,2013,3,2013
2013-04-01,2013-04-27,27,Cycle Hires (m),0.671462,4,2013,4,2013
2013-04-28,2013-05-25,28,Cycle Hires (m),0.671536,4,2013,5,2013
2013-05-26,2013-06-22,28,Cycle Hires (m),0.690684,5,2013,6,2013
2013-06-23,2013-07-20,28,Cycle Hires (m),0.7767350000000001,6,2013,7,2013
2013-07-21,2013-08-17,28,Cycle Hires (m),0.753368,7,2013,8,2013
2013-08-18,2013-09-14,28,Cycle Hires (m),0.6640689999999999,8,2013,9,2013
2013-09-15,2013-10-12,28,Cycle Hires (m),0.625347,9,2013,10,2013
2013-10-13,2013-11-09,28,Cycle Hires (m),0.586305,10,2013,11,2013
2013-11-10,2013-12-07,28,Cycle Hires (m),0.5092399999999999,11,2013,12,2013
2013-12-08,2014-01-04,28,Cycle Hires (m),0.407503,12,2013,1,2014
2014-01-05,2014-02-01,28,Cycle Hires (m),0.595793,1,2014,2,2014
2014-02-02,2014-03-01,28,Cycle Hires (m),0.616808,2,2014,3,2014
2014-03-02,2014-03-31,30,Cycle Hires (m),0.811856,3,2014,3,2014
2014-04-01,2014-04-26,26,Cycle Hires (m),0.658233,4,2014,4,2014
2014-04-27,2014-05-24,28,Cycle Hires (m),0.8887940000000001,4,2014,5,2014
2014-05-25,2014-06-21,28,Cycle Hires (m),0.821951,5,2014,6,2014
2014-06-22,2014-07-19,28,Cycle Hires (m),0.90309,6,2014,7,2014
2014-07-20,2014-08-16,28,Cycle Hires (m),0.9422209999999999,7,2014,8,2014
2014-08-17,2014-09-13,28,Cycle Hires (m),0.848087,8,2014,9,2014
2014-09-14,2014-10-11,28,Cycle Hires (m),0.906545,9,2014,10,2014
2014-10-12,2014-11-08,28,Cycle Hires (m),0.784375,10,2014,11,2014
2014-11-09,2014-12-06,28,Cycle Hires (m),0.68176,11,2014,12,2014
2014-12-07,2015-01-03,28,Cycle Hires (m),0.534323,12,2014,1,2015
2015-01-04,2015-01-31,28,Cycle Hires (m),0.672813,1,2015,1,2015
2015-02-01,2015-02-28,28,Cycle Hires (m),0.6437510000000001,2,2015,2,2015
2015-03-01,2015-03-31,31,Cycle Hires (m),0.719355,3,2015,3,2015
2015-04-01,2015-05-02,26,Cycle Hires (m),0.9067540000000001,4,2015,5,2015
2015-05-03,2015-05-30,28,Cycle Hires (m),0.806551,5,2015,5,2015
2015-05-31,2015-06-27,28,Cycle Hires (m),0.885051,5,2015,6,2015
2015-06-28,2015-07-25,28,Cycle Hires (m),0.9006569999999999,6,2015,7,2015
2015-07-26,2015-08-22,28,Cycle Hires (m),0.857964,7,2015,8,2015
2015-08-23,2015-09-19,28,Cycle Hires (m),0.816176,8,2015,9,2015
2015-09-20,2015-10-17,28,Cycle Hires (m),0.85403,9,2015,10,2015
2015-10-18,2015-11-14,28,Cycle Hires (m),0.766193,10,2015,11,2015
2015-11-15,2015-12-12,28,Cycle Hires (m),0.677385,11,2015,12,2015
2015-12-13,2016-01-09,28,Cycle Hires (m),0.565461,12,2015,1,2016
2016-01-10,2016-02-06,28,Cycle Hires (m),0.590517,1,2016,2,2016
2016-02-07,2016-03-05,28,Cycle Hires (m),0.620935,2,2016,3,2016
2016-03-06,2016-03-31,31,Cycle Hires (m),0.63067,3,2016,3,2016
2016-04-01,2016-04-30,30,Cycle Hires (m),0.804913,4,2016,4,2016
2016-05-01,2016-05-28,28,Cycle Hires (m),0.8966729999999999,5,2016,5,2016
2016-05-29,2016-06-25,28,Cycle Hires (m),0.83096,5,2016,6,2016
2016-06-26,2016-07-23,28,Cycle Hires (m),0.9648629999999999,6,2016,7,2016
2016-07-24,2016-08-20,28,Cycle Hires (m),0.997559,7,2016,8,2016
2016-08-21,2016-09-17,28,Cycle Hires (m),0.9111379999999999,8,2016,9,2016
2016-09-18,2016-10-15,28,Cycle Hires (m),0.8583850000000001,9,2016,10,2016
2016-10-16,2016-11-12,28,Cycle Hires (m),0.821751,10,2016,11,2016
2016-11-13,2016-12-10,28,Cycle Hires (m),0.7316699999999999,11,2016,12,2016
2016-12-11,2017-01-07,28,Cycle Hires (m),0.586337,12,2016,1,2017
2017-01-08,2017-02-04,28,Cycle Hires (m),0.6502640000000001,1,2017,2,2017
2017-02-05,2017-03-04,28,Cycle Hires (m),0.7339359999999999,2,2017,3,2017
2017-03-05,2017-03-31,27,Cycle Hires (m),0.773671,3,2017,3,2017
2017-04-01,2017-04-29,29,Cycle Hires (m),0.8229799999999999,4,2017,4,2017
2017-04-30,2017-05-27,28,Cycle Hires (m),0.8609680000000001,4,2017,5,2017
2017-05-28,2017-06-24,28,Cycle Hires (m),0.978709,5,2017,6,2017
2017-06-25,2017-07-22,28,Cycle Hires (m),0.924632,6,2017,7,2017
2017-07-23,2017-08-19,28,Cycle Hires (m),0.8739709999999999,7,2017,8,2017
2017-08-20,2017-09-16,28,Cycle Hires (m),0.869605,8,2017,9,2017
2017-09-17,2017-10-14,28,Cycle Hires (m),0.865411,9,2017,10,2017
2017-10-15,2017-11-11,28,Cycle Hires (m),0.820217,10,2017,11,2017
2017-11-12,2017-12-09,28,Cycle Hires (m),0.728083,11,2017,12,2017
2017-12-10,2018-01-06,28,Cycle Hires (m),0.493608,12,2017,1,2018
2018-01-07,2018-02-03,28,Cycle Hires (m),0.609485,1,2018,2,2018
2018-02-04,2018-03-03,28,Cycle Hires (m),0.597595,2,2018,3,2018
2018-03-04,2018-03-31,28,Cycle Hires (m),0.654273,3,2018,3,2018
2018-04-01,2018-04-28,28,Cycle Hires (m),0.826567,4,2018,4,2018
2018-04-29,2018-05-26,28,Cycle Hires (m),0.8845879999999999,4,2018,5,2018
2018-05-27,2018-06-23,28,Cycle Hires (m),0.8964260000000001,5,2018,6,2018
2018-06-24,2018-07-21,28,Cycle Hires (m),0.9706299999999999,6,2018,7,2018
2018-07-22,2018-08-18,28,Cycle Hires (m),0.913386,7,2018,8,2018
2018-08-19,2018-09-15,28,Cycle Hires (m),0.802124,8,2018,9,2018
2018-09-16,2018-10-13,28,Cycle Hires (m),0.8292510000000001,9,2018,10,2018
